fdid,path,status,error,detail,chunked,skel,n_vertices,n_bones,n_sequences,n_skins,n_lod_skins,n_particles,checks_failed
123496,creature/dragon/lethon.m2,ok,,,1,0,2248,149,99,4,0,0,
123497,creature/dragon/northrenddragon.m2,ok,,,1,0,2098,153,99,4,0,0,
123498,creature/dragon/taerar.m2,ok,,,1,0,2252,188,73,4,0,39,
123499,creature/dragon/taerar_q.m2,ok,,,1,0,5668,184,36,1,3,39,
123500,creature/dragondarkshade/dragondarkshade.m2,ok,,,1,0,2098,153,36,4,0,6,
123507,creature/dragonfootsoldier/dragonfootsoldier.m2,ok,,,1,0,1012,92,35,3,0,0,
123519,creature/dragonfootsoldierdarkshade/dragonfootsoldierdarkshade.m2,ok,,,1,0,1008,90,23,2,0,10,
123522,creature/dragonhawk/dragonhawk.m2,ok,,,1,0,1272,85,24,3,0,0,
123531,creature/dragonhawkgod/dragonhawkgod.m2,ok,,,1,0,1434,69,28,2,0,2,
123534,creature/dragonkalecgos/dragonkalecgos.m2,ok,,,1,0,3137,136,39,4,0,7,
123538,creature/dragonkite/dragonkite.m2,ok,,,1,0,876,56,11,2,0,0,
123543,creature/dragonspawn/dragonspawn.m2,ok,,,1,0,916,101,34,3,0,0,
123544,creature/dragonspawn/dragonspawnarmored.m2,ok,,,1,0,1648,101,34,3,0,0,
123553,creature/dragonspawn/dragonspawngreater.m2,ok,,,1,0,1561,122,29,4,0,0,
123554,creature/dragonspawn/dragonspawnoverlord.m2,ok,,,1,0,1863,122,20,4,0,0,
123555,creature/dragonspawn/dragonspawnoverlordnexus.m2,ok,,,1,0,1501,121,20,4,0,0,
123570,creature/dragonspawnarmoreddarkshade/dragonspawnarmoreddarkshade.m2,ok,,,1,0,1646,112,20,3,0,11,
123577,creature/dragonspawncaster/dragonspawncaster.m2,ok,,,1,0,954,102,20,3,0,0,
123595,creature/dragonspawncasterdarkshade/dragonspawncasterdarkshade.m2,ok,,,1,0,954,110,20,3,0,12,
123598,creature/dragonspawndarkshade/dragonspawndarkshade.m2,ok,,,1,0,912,114,20,3,0,12,
123600,creature/dragonspawnnexus/dragonspawnarmorednexus.m2,ok,,,1,0,1696,97,34,3,0,0,
123603,creature/dragonspawnoverlorddarkshade/dragonspawnoverlorddarkshade.m2,ok,,,1,0,1529,131,20,4,0,9,
123610,creature/dragonwhelp/dragonwhelp.m2,ok,,,1,0,450,57,14,2,0,0,
123620,creature/dragonwhelpdarkshade/dragonwhelpdarkshade.m2,ok,,,1,0,450,61,14,2,0,3,
123622,creature/dragonwhelpoutland/dragonwhelpoutland.m2,ok,,,1,0,579,62,14,2,0,6,
123629,creature/dragonwhelpoutlandcute/dragonwhelpoutlandcute.m2,ok,,,1,0,575,62,14,2,0,6,
123636,creature/drake/drake.m2,ok,,,1,0,1566,98,15,4,0,0,
123661,creature/drake/orcdrakerider.m2,ok,,,1,0,3169,100,16,4,0,0,
123664,creature/drakeadon/drakeadon.m2,ok,,,1,0,4430,89,29,1,3,0,
123666,creature/drakedarkshade/drakedarkshade.m2,ok,,,1,0,1574,108,17,4,0,9,
123673,creature/dreadlord/dreadlord.m2,ok,,,1,0,1480,83,38,3,0,0,
123678,creature/druidbear/druidbear.m2,ok,,,1,0,899,67,68,2,0,0,
123680,creature/druidbear/druidbeartauren.m2,ok,,,1,0,1129,67,68,2,0,0,
123682,creature/druidcat/druidcat.m2,ok,,,1,0,981,76,72,2,0,0,
123688,creature/druidcattauren/druidcattauren.m2,ok,,,1,0,1114,72,72,2,0,0,
123690,creature/druidowlbear/druidowlbear.m2,ok,,,1,0,941,105,110,2,0,0,
123695,creature/druidowlbear/druidowlbeartauren.m2,ok,,,1,0,827,103,110,2,0,0,
123698,creature/dryad/dryad.m2,ok,,,1,0,838,113,27,4,0,0,
123705,creature/dryder/dryder.m2,ok,,,1,0,860,82,12,2,0,0,
123708,creature/dwarfmalewarriorlight/dwarfmalewarriorlight.m2,ok,,,1,0,850,103,64,3,0,0,
123709,creature/dwarfmalewarriorlight/dwarfmalewarriorlight_ghost.m2,ok,,,1,0,850,103,64,3,0,0,
123715,creature/eagle/eagle.m2,ok,,,1,0,617,52,96,2,0,0,
123719,creature/eaglegod/eaglegod.m2,ok,,,1,0,1942,112,141,2,0,0,
123722,creature/egg/eggcreature.m2,ok,,,1,0,204,21,5,1,0,1,
123729,creature/elekk/elekk.m2,ok,,,1,0,820,85,38,2,0,0,
123730,creature/elekk/elekkwild.m2,ok,,,1,0,765,90,38,1,0,0,
123747,creature/elementalearth/elementalearth.m2,ok,,,1,0,1330,98,16,2,0,13,
123756,creature/ent/ent.m2,ok,,,1,0,4947,134,82,1,3,0,
123766,creature/epicdruidflightalliance/epicdruidflightalliance.m2,ok,,,1,0,1219,47,100,2,0,0,
123767,creature/epicdruidflighthorde/epicdruidflighthorde.m2,ok,,,1,0,1374,51,100,2,0,0,
123769,creature/eredar/archimonde.m2,ok,,,1,0,2812,135,107,3,0,3,
123772,creature/eredar/eredar.m2,ok,,,1,0,1754,127,140,3,0,2,
123788,creature/eredarfemale/eredarfemale.m2,ok,,,1,0,2952,137,144,3,0,2,
123791,creature/etherial/etherial.m2,ok,,,1,0,5205,138,31,4,0,25,
123799,creature/etherialrobe/etherialrobe.m2,ok,,,1,0,3704,119,29,2,0,20,
123808,creature/eyeofkathune/eyeofkathune.m2,ok,,,1,0,396,30,8,1,0,0,
123814,creature/eyestalkofkathune/eyestalkofkathune.m2,ok,,,1,0,204,24,12,1,0,0,
123816,creature/faeriedragon/faeriedragon.m2,ok,,,1,0,692,78,16,2,0,0,
123818,creature/faeriedragon/faeriedragon_ghost.m2,ok,,,1,0,687,75,20,2,0,0,
123821,creature/felbat/batrider.m2,ok,,,1,0,1388,52,13,2,0,0,
123830,creature/felbat/battaxi.m2,ok,,,1,0,590,49,10,2,0,0,
123831,creature/felbat/felbat.m2,ok,,,1,0,591,38,43,2,0,0,
123834,creature/felbeast/felbeast.m2,ok,,,1,0,1928,103,33,3,0,14,
123837,creature/felbeastshadowmoon/felbeastshadowmoon.m2,ok,,,1,0,1876,103,29,3,0,14,
123839,creature/felboar/felboar.m2,ok,,,1,0,523,60,17,2,0,0,
123845,creature/felcannon/felcannon.m2,ok,,,1,0,1426,33,15,1,0,12,
123846,creature/felcannon/felcannon_02.m2,ok,,,1,0,1302,31,15,1,0,12,
123847,creature/felelfcasterfemale/felelfcasterfemale.m2,ok,,,1,0,2266,150,145,4,0,8,
123852,creature/felelfcastermale/felelfcastermale.m2,ok,,,1,0,2448,152,147,3,0,8,
123856,creature/felelfhunterfemale/felelfhunterfemale.m2,ok,,,1,0,2953,146,145,3,0,8,
123862,creature/felelfwarriormale/felelfwarriormale.m2,ok,,,1,0,3209,153,147,3,0,8,
123869,creature/felgolem/felgolem.m2,ok,,,1,0,1068,60,24,1,0,9,
123870,creature/felguard/felguard.m2,ok,,,1,0,1019,57,46,2,0,0,
123876,creature/felhorse/felhorseepic.m2,ok,,,1,0,1290,74,36,2,0,9,
123878,creature/felhound/felhound.m2,ok,,,1,0,2081,80,19,1,3,0,
123880,creature/felorc/felorc.m2,ok,,,1,0,1163,113,135,2,0,0,
123882,creature/felorc/felorc_axe.m2,ok,,,1,0,1232,105,135,2,0,0,
123887,creature/felorc/felorc_sword.m2,ok,,,1,0,1111,105,135,2,0,0,
123893,creature/felorcaxe/felorcwarrioraxe.m2,ok,,,1,0,1876,111,135,2,0,0,
123900,creature/felorcboss/felorcwarriorboss.m2,ok,,,1,0,1620,111,135,2,0,2,
123901,creature/felorcdire/felorcdire.m2,ok,,,1,0,1906,64,9,2,0,1,
123906,creature/felorcnetherdrake/felorcnetherdrake.m2,ok,,,1,0,2045,104,46,3,0,3,
123908,creature/felorcnetherdrake/felorcnetherdrakemounted.m2,ok,,,1,0,3919,109,46,3,0,5,
123915,creature/felorcsword/felorcwarriorsword.m2,ok,,,1,0,1327,111,135,2,0,0,
123918,creature/felorcwarlord/felorcwarlord.m2,ok,,,1,0,2125,131,132,2,0,6,
123929,creature/felreaver/felreaver.m2,ok,,,1,0,2897,101,20,2,0,16,
123931,creature/firedancer/firedancer.m2,ok,,,1,0,1644,129,144,3,0,0,
123934,creature/fireelemental/fireelemental.m2,ok,,,1,0,650,82,25,2,0,11,
123939,creature/firefly/fireflygreen.m2,ok,,,1,0,596,58,31,2,0,3,
123944,creature/firesprite/firesprite.m2,ok,,,1,0,227,48,10,1,0,12,
123947,creature/fish/fish.m2,ok,,,1,0,65,38,7,1,0,0,
123949,creature/fleshbeast/fleshbeast.m2,ok,,,1,0,1011,72,30,2,0,0,
123952,creature/fleshgiant/fleshgiant.m2,ok,,,1,0,4124,41,12,1,0,0,
123961,creature/fleshgolem/fleshgolem.m2,ok,,,1,0,855,71,30,2,0,0,
123972,creature/fleshtitan/fleshtitan.m2,ok,,,1,0,3255,51,36,1,0,2,
123975,creature/flyingbomber/flyingbomber.m2,ok,,,1,0,926,33,20,1,0,2,
123977,creature/flyingmachinecreature/flyingmachinecreature.m2,ok,,,1,0,1656,45,20,2,0,9,
123979,creature/flyingmachinecreature_vehicle/flyingmachinecreature_vehicle.m2,ok,,,1,0,719,42,21,1,0,9,
123980,creature/flyingnerubian/flyingnerubian.m2,ok,,,1,0,835,62,29,2,0,0,
123987,creature/flyingreindeer/flyingreindeer.m2,ok,,,1,0,805,81,61,2,0,7,
123990,creature/forceofnature/forceofnature.m2,ok,,,1,0,922,84,19,3,0,0,
124001,creature/foresttroll/foresttroll.m2,ok,,,1,0,1198,1,1,1,0,0,
124003,creature/forsakencatapult/forsakencatapult.m2,ok,,,1,0,2980,82,10,2,0,27,
124004,creature/frenzy/frenzy.m2,ok,,,1,0,228,35,13,1,0,0,
124008,creature/frog/frog.m2,ok,,,1,0,247,47,10,1,0,0,
124014,creature/frostlord/frostlord.m2,ok,,,1,0,3733,94,15,2,0,26,
124022,creature/frostlord/frostlordcore.m2,ok,,,1,0,500,25,2,1,0,3,
124025,creature/frostnymph/frostnymph.m2,ok,,,1,0,1879,90,22,2,0,1,
124036,creature/frostsabre/frostsabre.m2,ok,,,1,0,630,67,63,2,0,0,
124038,creature/frostsabre/pvpridingfrostsabre.m2,ok,,,1,0,1041,67,72,2,0,0,
124052,creature/frostsabre/ridingfrostsabre.m2,ok,,,1,0,674,65,72,2,0,0,
124077,creature/frostwurm/frostwurm.m2,ok,,,1,0,4338,135,36,4,0,7,
124078,creature/frostwurm/frostwurm_nofrost.m2,ok,,,1,0,4338,130,36,4,0,0,
124084,creature/frostwurmfellfire/frostwurmfellfire.m2,ok,,,1,0,4420,140,36,4,0,9,
124093,creature/frostwurmnorthrend/frostwurmnorthrend.m2,ok,,,1,0,6234,154,73,4,0,16,
124095,creature/frostwyrmpet/frostwyrmpet.m2,ok,,,1,0,879,57,14,2,0,3,
124096,creature/fungalgiant/fungalgiant.m2,ok,,,1,0,1162,96,18,2,0,12,
124110,creature/fungalmonster/fungalmonster.m2,ok,,,1,0,1401,71,11,2,0,0,
124118,creature/furbolg/furbolg.m2,ok,,,1,0,550,70,73,2,0,0,
124131,creature/gargoyle/gargoyle.m2,ok,,,1,0,1019,65,23,2,0,0,
124148,creature/gazelle/gazelle.m2,ok,,,1,0,1025,69,25,2,0,0,
124153,creature/geist/geist.m2,absent,,,,,,,,,,,
124155,creature/ghost/ghost.m2,ok,,,1,0,1143,160,44,4,0,3,
124160,creature/ghoul/ghoul.m2,ok,,,1,0,872,86,48,2,0,0,
124166,creature/giantspider/giantspider.m2,ok,,,1,0,1450,87,10,2,0,0,
124169,creature/giraffe/giraffe.m2,ok,,,1,0,634,59,15,2,0,0,
124173,creature/gnoll/gnoll.m2,ok,,,1,0,504,61,32,2,0,0,
124186,creature/gnollcaster/gnollcaster.m2,ok,,,1,0,928,61,32,2,0,0,
124192,creature/gnollmelee/gnollmelee.m2,ok,,,1,0,813,61,32,2,0,0,
124198,creature/gnome/gnome.m2,ok,,,1,0,699,69,15,2,0,0,
124203,creature/gnomerocketcar/gnomerocketcar.m2,ok,,,1,0,1606,87,4,3,0,3,
124204,creature/gnomespidertank/gnomealertbot.m2,ok,,,1,0,2276,40,11,1,0,0,
124207,creature/gnomespidertank/gnomebombot.m2,ok,,,1,0,1864,41,13,1,0,4,
124208,creature/gnomespidertank/gnomebot.m2,ok,,,1,0,2989,65,11,2,0,5,
124209,creature/gnomespidertank/gnomepounder.m2,ok,,,1,0,3883,106,11,3,0,12,
124210,creature/gnomespidertank/gnomespidertank.m2,ok,,,1,0,1993,113,10,3,0,18,
124211,creature/gnomespidertank/gnomespidertank02.m2,ok,,,1,0,1423,73,10,2,0,18,
124224,creature/goblin/goblin.m2,ok,,,1,0,780,77,24,2,0,0,
124225,creature/goblin/goblinshredder.m2,ok,,,1,0,2417,125,27,4,0,10,
124234,creature/goblinrocketcar/goblinrocketcar.m2,ok,,,1,0,1652,102,3,4,0,0,
124235,creature/golemharvest/golemharvest.m2,ok,,,1,0,772,64,13,2,0,3,
124243,creature/golemharveststage2/golemharveststage2.m2,ok,,,1,0,1229,58,11,2,0,0,
